unique_id,lat,lng,ds,h3
5506914,-20.3106756,-40.3043341,2024-10-16 09:29:17.020,87a89574dffffff
5129002,-20.3142026,-40.2910774,2024-03-14 16:32:36.900,87a895748ffffff
5559023,-20.297462,-40.3178532,2024-11-14 21:15:23.057,87a8952b2ffffff
5490862,-20.4346863,-40.3620702,2024-10-05 06:13:35.417,87a895386ffffff
5040505,-20.2815487,-40.3008152,2024-01-31 22:57:21.617,87a895749ffffff
5714531,-20.2300858,-40.2548581,2025-02-21 02:39:49.540,87a895663ffffff
5630149,-20.2964914,-40.2976296,2024-12-18 14:14:08.820,87a895749ffffff
5147299,-20.3088215,-40.2946182,2024-03-22 20:01:52.897,87a895748ffffff
5086262,-20.3518546,-40.4261189,2024-02-27 05:36:08.377,87a89538bffffff
4989550,-20.23378,-40.2846701,2024-01-04 17:39:35.360,87a895661ffffff
5642229,-20.2973563,-40.295306,2024-12-26 11:05:45.213,87a895748ffffff
5238181,-20.3916778,-40.3213208,2024-05-07 06:54:12.823,87a895393ffffff
5024726,-20.3269989,-40.354646,2024-01-24 17:17:41.437,87a8952b4ffffff
4992961,-20.346903,-40.308612,2024-01-07 07:11:57.697,87a89576bffffff
5657969,-20.342364,-40.3107945,2025-01-09 08:12:21.877,87a89576bffffff
5773022,-20.2887606,-40.2938158,2025-04-07 14:25:47.667,87a89574bffffff
5290837,-20.3350231,-40.3703606,2024-06-03 09:11:57.837,87a8952b5ffffff
5791354,-20.3010654,-40.2995098,2025-04-22 10:03:13.817,87a895749ffffff
5057101,-20.2768029,-40.3003268,2024-02-09 10:46:00.747,87a895296ffffff
5559954,-20.3134937,-40.289205,2024-11-15 18:43:09.980,87a895748ffffff
5569789,-20.2645429,-40.2651716,2024-11-22 08:10:45.230,87a895664ffffff
5392963,-20.296647058858248,-40.29722694307566,2024-08-01 19:20:37.220,87a895749ffffff
5731513,-20.3011354,-40.32002689999999,2025-03-10 07:33:04.247,87a8952b2ffffff
5042936,-20.2603818,-40.2680115,2024-02-01 22:54:16.017,87a895664ffffff
5757985,-20.1911437,-40.2640768,2025-03-28 10:03:35.560,87a895641ffffff
5072260,-20.2647139,-40.2572037,2024-02-20 19:21:29.677,87a895664ffffff
5652227,-20.2968414,-40.2974348,2025-01-05 18:04:44.667,87a895749ffffff
5054265,-20.2997125,-40.2996419,2024-02-08 08:03:40.057,87a895749ffffff
5379078,-20.2616507,-40.2833308,2024-07-22 16:23:32.410,87a895665ffffff
5278479,-20.3132384,-40.3057888,2024-05-26 19:25:40.070,87a89574dffffff
5094191,-20.2734358,-40.2939237,2024-02-29 21:32:37.997,87a89574bffffff
5521974,-20.3145147,-40.2912088,2024-10-24 18:48:20.873,87a89574cffffff
5045749,-20.2647139,-40.2572037,2024-02-03 14:31:32.847,87a895664ffffff
5638909,-20.1517954,-40.2585977,2024-12-23 08:07:59.267,87a89564effffff
5382962,-20.3080519,-40.2944984,2024-07-25 16:34:00.580,87a895748ffffff
5196359,-20.3046458,-40.2997501,2024-04-16 11:06:37.910,87a89574dffffff
5283227,-20.2300858,-40.2548581,2024-05-29 09:49:28.217,87a895663ffffff
5530353,-20.2849811,-40.3000466,2024-10-29 20:18:34.950,87a895749ffffff
5570466,-20.297453,-40.3173492,2024-11-22 14:08:59.687,87a8952b2ffffff
5115866,-20.3218495,-40.3647853,2024-03-09 04:02:30.453,87a8952b5ffffff
5656181,-20.3157605,-40.3121196,2025-01-07 22:05:12.343,87a89574dffffff
5677973,-20.301438,-40.277071,2025-01-26 18:35:16.617,87a895748ffffff
5164030,-20.2653562,-40.2828228,2024-03-31 21:17:00.167,87a895665ffffff
5092617,-20.307968,-40.30175699999999,2024-02-29 12:41:54.647,87a89574dffffff
5043758,-20.1755548,-40.19358620000001,2024-02-02 12:57:10.440,87a895651ffffff
5259889,-20.3117819,-40.2923484,2024-05-16 17:16:13.120,87a895748ffffff
5279871,-20.269645,-40.3021677,2024-05-27 16:15:09.917,87a895296ffffff
5155558,-20.3465045,-40.2891527,2024-03-27 06:37:38.553,87a89576affffff
5450644,-20.3115012,-40.3085573,2024-09-07 19:21:56.500,87a89574dffffff
5348084,-20.3297783,-40.2794609,2024-07-02 17:45:20.410,87a89574cffffff
5007714,-20.236929,-40.27854320000001,2024-01-16 10:48:12.910,87a895661ffffff
5445927,-20.2987685,-40.3046746,2024-09-04 11:34:03.913,87a895749ffffff
5580487,-20.3130291,-40.295982,2024-11-27 16:39:46.817,87a89574dffffff
5497752,-20.265154,-40.2654133,2024-10-10 07:56:29.917,87a895664ffffff
5471709,-20.2632223,-40.2712085,2024-09-22 18:27:17.770,87a895664ffffff
5698385,-20.3118624,-40.2931068,2025-02-09 10:19:46.847,87a895748ffffff
5176183,-20.3090807,-40.2933783,2024-04-06 20:38:23.197,87a895748ffffff
5209296,-20.3090939,-40.3023506,2024-04-22 17:29:04.097,87a89574dffffff
5623512,-20.319239,-40.3540975,2024-12-15 03:07:43.757,87a8952b0ffffff
5263699,-20.2455355,-40.2705822,2024-05-18 15:38:30.630,87a895660ffffff
5240891,-20.3148741,-40.2969353,2024-05-08 10:47:34.177,87a89574dffffff
5694528,-20.4303954,-40.3388153,2025-02-06 10:01:15.383,87a895394ffffff
5394844,-20.3510864,-40.2839342,2024-08-02 20:34:08.307,87a89576affffff
5313979,-20.3009142,-40.2977183,2024-06-13 22:37:17.110,87a895748ffffff
5797658,-20.3143435,-40.2996425,2025-04-26 21:52:31.120,87a89574dffffff
5105006,-20.2645458,-40.2652036,2024-03-05 13:07:38.400,87a895664ffffff
5322751,-20.3531784,-40.3060115,2024-06-18 17:42:19.080,87a895768ffffff
5216991,-20.2800559,-40.3012808,2024-04-26 09:17:19.163,87a895296ffffff
5540545,-20.1755565,-40.1935731,2024-11-05 05:22:24.937,87a895651ffffff
5105995,-20.2968818,-40.2955634,2024-03-05 18:27:06.883,87a895749ffffff
5622709,-20.294001,-40.3037662,2024-12-14 17:42:36.817,87a895749ffffff
4982693,-20.2804533,-40.293223,2024-01-01 02:12:28.743,87a89574bffffff
5618134,-20.2914192,-40.3029525,2024-12-12 18:02:08.570,87a895749ffffff
5652840,-20.2991145,-40.303837,2025-01-06 09:14:48.187,87a895749ffffff
5060186,-20.2300998,-40.2784329,2024-02-11 18:55:33.547,87a895661ffffff
5335758,-20.3150219,-40.2904117,2024-06-25 19:04:45.307,87a89574cffffff
5267511,-20.2655119,-40.2826823,2024-05-21 07:59:34.320,87a895665ffffff
5194914,-20.3214569,-40.3408208,2024-04-15 22:17:27.577,87a8952b0ffffff
5039811,-20.2937741,-40.29571809999999,2024-01-31 18:20:05.237,87a895749ffffff
5268751,-20.2647139,-40.2572037,2024-05-21 18:48:41.597,87a895664ffffff
5092240,-20.2914192,-40.3029525,2024-02-29 10:20:55.913,87a895749ffffff
5170240,-20.3278789,-40.3505141,2024-04-04 03:27:26.687,87a8952b4ffffff
